"資料集識別碼","資料集名稱","資料提供屬性","服務分類","品質檢測","檔案格式","資料下載網址","編碼格式","資資料集上架方式","資料集描述","主要欄位說明","提供機關","更新頻率","授權方式","相關網址","計費方式","提供機關聯絡人姓名","提供機關聯絡人電話","上架日期","詮釋資料更新時間","備註","資料量"
"166152","六都公司登記資料-C製造業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=C41FF056-9A5A-41C0-8C06-552991AE8DB6","UTF-8","系統介接程式","提供六都公司營業項目為C製造業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-02-03 10:30:07","","0"
"166151","六都公司登記資料-A農、林、漁、牧業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=CED757E2-45E8-4DDE-A700-D78D4F7F3E3E","UTF-8","系統介接程式","提供六都公司營業項目為A農、林、漁、牧業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-02-03 10:00:20","","0"
"166153","六都公司登記資料-D水電燃氣業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=8FAC18E5-28DD-455A-AE16-72368BEFE258","UTF-8","系統介接程式","提供六都公司營業項目為D水電燃氣業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-02-03 10:30:09","","0"
"166156","六都公司登記資料-E營造及工程業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=878A8B5A-D78A-4801-A5B7-3802437C443E","UTF-8","系統介接程式","提供六都公司營業項目為E營造及工程業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-02-03 11:00:06","","0"
"108385","(東台灣排除六都)公司登記資料-C製造業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=C08272DE-E4BB-4647-B993-C626351C1010","UTF-8","系統介接程式","提供每月東台灣不含六都之-C製造業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 10:00:33","","0"
"166155","六都公司登記資料-B礦業及土石採取業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=7B887352-FA9E-478F-9C81-2537223DDE55","UTF-8","系統介接程式","提供六都公司營業項目為B礦業及土石採取業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-02-03 10:00:33","","0"
"108367","(南台灣排除六都)公司登記資料-C製造業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=7345D509-0E7C-48DB-95F0-390925201990","UTF-8","系統介接程式","提供每月南台灣不含六都之-C製造業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 09:30:50","","0"
"166154","六都公司登記資料-F零售、批發及餐飲業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=284305E8-B32E-403C-8121-F95FBD0A60D8","UTF-8","系統介接程式","提供六都公司營業項目為F零售、批發及餐飲業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-01-03 13:00:05","","0"
"166150","六都公司登記資料-G運輸、倉儲及通信業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=55E5073E-C959-4C54-89E9-EA61DB94AAFB","UTF-8","系統介接程式","提供六都公司營業項目為G運輸、倉儲及通信業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2023-10-19 00:00:00","2026-01-03 13:00:03","","0"
"108354","(中台灣排除六都)公司登記資料-C製造業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=0D84DBC0-962E-48E7-9BE1-21549F0F38EB","UTF-8","系統介接程式","提供每月中台灣不含六都之-C製造業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 09:01:04","","0"
"108363","(北台灣排除六都)公司登記資料-C製造業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=BF84A73E-99DD-4571-8B48-8D422C2193B0","UTF-8","系統介接程式","提供每月北台灣不含六都之-C製造業公司登記資料資料集，
資料集內容包含統一編號、公司名稱、公司地址、實收資本額、核准設立日期、營業地址（財政資訊中心匯入）、行業代號（財政資訊中心匯入）、財政資訊中心匯入日期、股票代號（金融監督管理委員會匯入）、產業別（金融監督管理委員會匯入）、金融監督管理委員會匯入日期、商標資料（智慧財產局匯入）、智慧財產局匯入日期","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","張 小姐","02-27841000#2513","2019-09-27 00:00:00","2026-02-03 08:30:17","","0"
"173818","六都公司登記資料-H金融、保險及不動產業","檔案資料","開創事業","白金","CSV","https://data.gcis.nat.gov.tw/od/file?oid=D8B97999-CD41-4195-B6F7-32119C541890","UTF-8","系統介接程式","提供六都公司登記資料-H金融、保險及不動產業之登記資料及營業地址。","統一編號;公司名稱;公司地址;資本總額;實收資本額;在境內營運資金;核准設立日期;營業地址（財政資訊中心匯入）;行業代號（財政資訊中心匯入）;財政資訊中心匯入日期;股票代號（金融監督管理委員會匯入）;產業別（金融監督管理委員會匯入）;金融監督管理委員會匯入日期;商標資料（智慧財產局匯入）;智慧財產局匯入日期","經濟部商業發展署","每1月","政府資料開放授權條款-第1版","","免費","黃 先生","02-27841000#2561","2025-05-27 00:00:00","2025-06-19 10:30:24","","0"
